"group_num","date","jday","hot","warm","mean","cool","cold","ambient"
4,2025-01-08,8,7.95934272627342,6.23408925766006,3.64620905474001,1.05832885181997,-0.666924616793391,8
5,2025-01-09,9,8.27488633191879,6.54963286330543,3.96175266038538,1.37387245746534,-0.351381011148022,8
5,2025-01-10,10,8.27488633191879,6.54963286330543,3.96175266038538,1.37387245746534,-0.351381011148022,6
6,2025-01-11,11,8.04899639131294,6.32374292269958,3.73586271977953,1.14798251685949,-0.577270951753872,6
6,2025-01-12,12,8.04899639131294,6.32374292269958,3.73586271977953,1.14798251685949,-0.577270951753872,5
7,2025-01-13,13,7.97156715535273,6.24631368673937,3.65843348381932,1.07055328089928,-0.654700187714082,4
7,2025-01-14,14,7.97156715535273,6.24631368673937,3.65843348381932,1.07055328089928,-0.654700187714082,2
8,2025-01-15,15,8.24440787855157,6.51915440993821,3.93127420701816,1.34339400409812,-0.381859464515241,5
8,2025-01-16,16,8.24440787855157,6.51915440993821,3.93127420701816,1.34339400409812,-0.381859464515241,3
9,2025-01-17,17,7.7602627123307,6.03500924371734,3.4471290407973,0.859248837877254,-0.866004630736108,3
9,2025-01-18,18,7.7602627123307,6.03500924371734,3.4471290407973,0.859248837877254,-0.866004630736108,3
10,2025-01-19,19,8.27003962725919,6.54478615864583,3.95690595572579,1.36902575280575,-0.356227715807617,1
10,2025-01-20,20,8.27003962725919,6.54478615864583,3.95690595572579,1.36902575280575,-0.356227715807617,0
11,2025-01-21,21,8.43729957505636,6.712046106443,4.12416590352295,1.53628570060291,-0.188967768010452,2
11,2025-01-22,22,8.43729957505636,6.712046106443,4.12416590352295,1.53628570060291,-0.188967768010452,2
12,2025-01-23,23,8.45462779135826,6.7293743227449,4.14149411982485,1.55361391690481,-0.171639551708551,2
12,2025-01-24,24,8.45462779135826,6.7293743227449,4.14149411982485,1.55361391690481,-0.171639551708551,4
13,2025-01-25,25,8.46427989578177,6.73902642716841,4.15114622424836,1.56326602132832,-0.161987447285041,5
13,2025-01-26,26,8.46427989578177,6.73902642716841,4.15114622424836,1.56326602132832,-0.161987447285041,5
14,2025-01-27,27,8.25049093682409,6.52523746821073,3.93735726529069,1.34947706237064,-0.375776406242719,6
14,2025-01-28,28,8.25049093682409,6.52523746821073,3.93735726529069,1.34947706237064,-0.375776406242719,5
15,2025-01-29,29,8.14901756988458,6.42376410127122,3.83588389835118,1.24800369543114,-0.477249773182226,6
15,2025-01-30,30,8.14901756988458,6.42376410127122,3.83588389835118,1.24800369543114,-0.477249773182226,6
16,2025-01-31,31,8.12656058486738,6.40130711625401,3.81342691333397,1.22554671041393,-0.499706758199436,6
16,2025-02-01,32,8.60846841449318,6.69045181402949,3.81342691333397,0.936402012638445,-0.981614587825238,5.223632813
17,2025-02-02,33,8.67073684203989,6.75272024157621,3.87569534088068,0.998670440185157,-0.919346160278527,4.132161458
17,2025-02-03,34,8.67073684203989,6.75272024157621,3.87569534088068,0.998670440185157,-0.919346160278527,5.293619792
18,2025-02-04,35,9.23832271959516,7.32030611913147,4.44328121843595,1.56625631774042,-0.35176028272326,7.517903646
18,2025-02-05,36,9.23832271959516,7.32030611913147,4.44328121843595,1.56625631774042,-0.35176028272326,5.341796875
19,2025-02-06,37,9.20659434268212,7.28857774221844,4.41155284152291,1.53452794082739,-0.383488659636297,3.059895833
19,2025-02-07,38,9.20659434268212,7.28857774221844,4.41155284152291,1.53452794082739,-0.383488659636297,3.34375
20,2025-02-08,39,8.43519707280505,6.51718047234136,3.64015557164584,0.763130670950315,-1.15488592951337,3.631184896
20,2025-02-09,40,8.43519707280505,6.51718047234136,3.64015557164584,0.763130670950315,-1.15488592951337,4.263997396
21,2025-02-10,41,8.35517706731247,6.43716046684879,3.56013556615326,0.683110665457738,-1.23490593500595,3.895833333
21,2025-02-11,42,8.35517706731247,6.43716046684879,3.56013556615326,0.683110665457738,-1.23490593500595,3.974609375
22,2025-02-12,43,8.37558227104965,6.45756567058597,3.58054076989045,0.703515869194922,-1.21450073126876,4.419270833
22,2025-02-13,44,8.37558227104965,6.45756567058597,3.58054076989045,0.703515869194922,-1.21450073126876,3.777994792
23,2025-02-14,45,7.57282075840125,5.65480415793756,2.77777925724204,-0.0992456434534856,-2.01726224391717,4.727213542
23,2025-02-15,46,7.57282075840125,5.65480415793756,2.77777925724204,-0.0992456434534856,-2.01726224391717,4.345703125
24,2025-02-16,47,7.93981431015115,6.02179770968746,3.14477280899194,0.267747908296416,-1.65026869216727,3.137369792
24,2025-02-17,48,7.93981431015115,6.02179770968746,3.14477280899194,0.267747908296416,-1.65026869216727,3.306315104
25,2025-02-18,49,8.415965777943,6.49794917747931,3.62092427678379,0.743899376088263,-1.17411722437542,4.36328125
25,2025-02-19,50,8.415965777943,6.49794917747931,3.62092427678379,0.743899376088263,-1.17411722437542,4.696614583
26,2025-02-20,51,8.71773258423322,6.79971598376954,3.92269108307402,1.04566618237849,-0.872350418085192,10.671875
26,2025-02-21,52,8.71773258423322,6.79971598376954,3.92269108307402,1.04566618237849,-0.872350418085192,12.1969401
27,2025-02-22,53,9.34776227259296,7.42974567212928,4.55272077143375,1.67569587073823,-0.242320729725453,10.67415365
27,2025-02-23,54,9.34776227259296,7.42974567212928,4.55272077143375,1.67569587073823,-0.242320729725453,8.685872396
28,2025-02-24,55,9.15022825093409,7.23221165047041,4.35518674977488,1.47816184907936,-0.439854751384326,10.57128906
28,2025-02-25,56,9.15022825093409,7.23221165047041,4.35518674977488,1.47816184907936,-0.439854751384326,8.791341146
29,2025-02-26,57,9.32738374378257,7.40936714331889,4.53234224262336,1.65531734192784,-0.262699258535844,6.046875
29,2025-02-27,58,9.32738374378257,7.40936714331889,4.53234224262336,1.65531734192784,-0.262699258535844,7.623372396
